File Name,Artist,Title,Iconography,Earliest Date,Latest Date,Genre,Material,Photo Archive,Image Credits,Details URL,Additional Information,Iconclass code,License,Description,Keywords,Language
25d7d6ab-d033-6162-ba41-018456f06154.jpg, Anoniem (Antwerpen (stad)) ca. 1510-1520 Nieuwdorp 1993 , The Wedding at Cana (exterior left wing); The Raising of Lazarus (exterior right wing); The Temptation of Christ in the Desert (exterior upper wings) ,Lazarus,1510,1520.0,retable,,https://rkd.nl/en/,https://images.rkd.nl/rkd/thumb/650x650/25d7d6ab-d033-6162-ba41-018456f06154.jpg,https://rkd.nl/explore/images/286734, ,"73C611,73C523,73C2",Public Domain,,New Testament and Apocrypha ,en
e1e6a090-9ed3-4edb-7943-5a9ebb8e5d7b.jpg, Aelbert Cuyp , Herdsmen tending cattle on the bank of a rivier ,cattle,1655,1660.0,painting,,https://rkd.nl/en/,https://images.rkd.nl/rkd/thumb/650x650/e1e6a090-9ed3-4edb-7943-5a9ebb8e5d7b.jpg,https://rkd.nl/explore/images/296863, ,,,,"landscape (genre),animal painting (genre),cattle painting,river,herdsman,donkey,cow,rock ",en
961f7ca0-86d7-2c2e-f5e4-3d603d632374.jpg,, Sitting young gentleman with pipe and book ,Tobacco,,,,,https://rkd.nl/en/,https://images.rkd.nl/rkd/thumb/650x650/961f7ca0-86d7-2c2e-f5e4-3d603d632374.jpg,, ,,,,,
Joconde_ii_0110583.jpg,"AVISSE Paul Alexandre, manufacture de Sèvres",Théière,theiere,1850,1899.0,"dessin, arts décoratifs","graphite, papier",https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190042503/0110583.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190042503,,,,1906 correspond à la date d'inscription sur l'inventaire,,
Joconde_ii_0110579.jpg,"AVISSE Paul Alexandre, manufacture de Sèvres",Théière,theiere,1850,1899.0,"dessin, arts décoratifs","graphite, papier",https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190042505/0110579.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190042505,,,,1906 correspond à la date d'inscription sur l'inventaire,,
Joconde_ii_0110808.jpg,"AVISSE Paul Alexandre, manufacture de Sèvres",Théière,theiere,1850,1899.0,"dessin, arts décoratifs","graphite, papier",https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190042510/0110808.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190042510,,,,1906 correspond à la date d'inscription sur l'inventaire,,
Joconde_ii_0110657.jpg,"AVISSE Paul Alexandre, manufacture de Sèvres",Théière,theiere,1850,1899.0,"dessin, arts décoratifs","graphite, papier",https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190042511/0110657.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190042511,,,,1906 correspond à la date d'inscription sur l'inventaire,,
Joconde_ii_0036186.jpg,"Brongniart Alexandre Théodore (1739-1813), manufacture de Sèvres",Théière,theiere,1800,1899.0,"dessin, arts décoratifs","graphite, plume, encre, gouache, papier",https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190032404/0036186.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190032404,"Ornements en coloris pour théière : frise de feuilles de vigne et de grappes de raisin au col; bouquet dans un panier haut, canne et oiseaux sur la panse : bec à tête de lion, anse droite à palmettes, col et pied dorés; Théière en coloris",,,,,
Joconde_ii_0038423.jpg,manufacture de Sèvres,Théière,theiere,1750,1799.0,"dessin, arts décoratifs","graphite, papier",https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190029462/0038423.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190029462,Vue de profil et coupe d'une théière à quatre pans ronds,,,,,
Joconde_ii_0039001.jpg,manufacture de Sèvres,Théière,theiere,1800,1849.0,"dessin, arts décoratifs","graphite, papier",https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190032616/0039001.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190032616,,,,,,
